27.2152750,106.8552283,873.85
27.2152700,106.8552333,874.62
27.2152667,106.8552400,875.38
27.2152633,106.8552467,875.96
27.2152600,106.8552533,876.92
27.2152583,106.8552600,877.50
27.2152550,106.8552683,878.46
27.2152533,106.8552767,879.42
27.2152517,106.8552850,880.19
27.2152500,106.8552950,881.15
27.2152483,106.8553033,882.31
27.2152483,106.8553133,883.08
27.2152483,106.8553233,884.23
27.2152483,106.8553350,885.38
27.2152500,106.8553450,886.15
27.2152500,106.8553550,887.31
27.2152500,106.8553633,888.27
27.2152500,106.8553733,889.23
27.2152500,106.8553833,890.19
27.2152500,106.8553933,891.15
27.2152500,106.8554033,891.92
27.2152500,106.8554133,893.08
27.2152500,106.8554217,894.04
27.2152500,106.8554317,894.81
27.2152500,106.8554400,895.77
27.2152500,106.8554500,896.73
27.2152500,106.8554583,897.50
27.2152500,106.8554700,898.65
27.2152500,106.8554800,899.81
27.2152500,106.8554917,900.77
